Linux 3.10.0-230.el7.x86_64 (perf10.perf.lab.eng.bos.redhat.com) 	08/05/15 	_x86_64_	(40 CPU)

15:07:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:04      16    0.67    0.00    0.00    0.00    0.00    0.00    0.00    2.34    0.00   96.99
15:08:04      17    1.00    0.00    0.33    0.00    0.00    0.00    0.00    3.34    0.00   95.32
15:08:04      18    0.67    0.00    0.33    0.00    0.00    0.00    0.00    4.35    0.00   94.65
15:08:04      19    1.00    0.00    0.33    0.00    0.00    0.00    0.00   34.33    0.00   64.33
15:08:04      20    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.33    0.00   99.00
15:08:04      21    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:04      22    0.67    0.00    3.00    0.00    0.00    0.00    0.00    0.33    0.00   96.00
15:08:04      23    5.33    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00   94.00
15:08:04      24    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
15:08:04      25    1.33    0.00    0.00    0.00    0.00    0.00    0.00    2.00    0.00   96.67
15:08:04      26    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:04      27    1.00    0.00    3.01    0.00    0.00    0.33    0.00    2.34    0.00   93.31
15:08:04      28    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:04      29    1.34    0.00    0.00    0.00    0.00    0.00    0.00    2.34    0.00   96.32
15:08:04      30    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
15:08:04      31    1.00    0.00    0.00    0.00    0.00    0.00    0.00    2.33    0.00   96.68
15:08:04      32    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
15:08:04      33    0.67    0.00    0.00    0.00    0.00    0.00    0.00    2.68    0.00   96.66
15:08:04      34    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.33    0.00   99.33
15:08:04      35    1.00    0.00    0.33    0.00    0.00    0.00    0.00    2.66    0.00   96.01
15:08:04      36    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00   98.67
15:08:04      37    0.67    0.00    0.00    0.00    0.00    0.00    0.00    6.02    0.00   93.31
15:08:04      38    0.33    0.00    0.00    0.00    0.00    0.00    0.00   20.40    0.00   79.26
15:08:04      39    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

15:08:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:07     all    4.55    0.00    9.24    0.00    0.01    0.70    0.00    4.12    0.00   81.39
15:08:07       0    1.38    0.00    9.31    0.00    0.00    0.00    0.00    7.93    0.00   81.38
15:08:07       1   10.64    0.00   19.50    0.00    0.00    1.42    0.00    8.16    0.00   60.28
15:08:07       2    1.73    0.00    8.65    0.00    0.00    0.00    0.00    6.23    0.00   83.39
15:08:07       3    9.68    0.00   20.07    0.00    0.00    1.08    0.00    8.24    0.00   60.93
15:08:07       4    1.03    0.00    9.59    0.00    0.00    0.00    0.00    6.85    0.00   82.53
15:08:07       5   11.23    0.00   20.35    0.00    0.00    1.40    0.00    7.72    0.00   59.30
15:08:07       6    1.37    0.00    8.53    0.00    0.00    0.00    0.00    7.85    0.00   82.25
15:08:07       7   10.95    0.00   19.08    0.00    0.00    1.41    0.00    7.77    0.00   60.78
15:08:07       8   26.32    0.00   25.94    0.00    0.00   13.91    0.00    1.13    0.00   32.71
15:08:07       9   10.71    0.00   20.00    0.00    0.00    1.43    0.00    7.50    0.00   60.36
15:08:07      10    9.97    0.00   15.46    0.00    0.00    0.00    0.00    4.12    0.00   70.45
15:08:07      11   10.25    0.00   19.43    0.00    0.00    1.41    0.00    8.83    0.00   60.07
15:08:07      12    6.90    0.00   12.41    0.00    0.00    0.00    0.00    4.14    0.00   76.55
15:08:07      13   10.04    0.00   19.71    0.00    0.00    1.43    0.00    7.53    0.00   61.29
15:08:07      14    4.45    0.00   10.62    0.00    0.00    0.00    0.00    5.48    0.00   79.45
15:08:07      15   10.07    0.00   21.18    0.00    0.00    1.74    0.00    7.99    0.00   59.03
15:08:07      16    3.08    0.00    9.93    0.00    0.00    0.00    0.00    5.82    0.00   81.16
15:08:07      17   10.84    0.00   21.33    0.00    0.00    1.75    0.00    6.64    0.00   59.44
15:08:07      18    2.73    0.00    9.56    0.00    0.00    0.00    0.00    6.14    0.00   81.57
15:08:07      19    9.89    0.00   20.14    0.00    0.00    1.41    0.00    8.13    0.00   60.42
15:08:07      20    0.00    0.00    2.02    0.00    0.00    0.00    0.00    4.38    0.00   93.60
15:08:07      21    1.68    0.00    3.69    0.00    0.00    0.34    0.00    2.35    0.00   91.95
15:08:07      22    0.34    0.00    1.68    0.00    0.00    0.00    0.00    1.68    0.00   96.30
15:08:07      23    2.03    0.00    3.39    0.00    0.00    0.00    0.00    2.03    0.00   92.54
15:08:07      24    0.00    0.00    1.67    0.00    0.00    0.00    0.00    0.33    0.00   98.00
15:08:07      25    1.67    0.00    4.68    0.00    0.00    0.00    0.00    2.01    0.00   91.64
15:08:07      26    0.33    0.00    1.34    0.00    0.00    0.00    0.00    1.00    0.00   97.32
